,mag,mag_err,jd,band,sub,site,phase,filter
0,15.74,0.07,2450930.13,R,True,66,0.1299999998882413,R
1,15.88,0.08,2450930.13,V,True,66,0.1299999998882413,V
2,15.77,0.06,2450930.25,R,True,66,0.25,R
3,15.74,0.07,2450930.31,R,True,66,0.31000000005587935,R
4,15.93,0.08,2450930.31,V,True,66,0.31000000005587935,V
5,15.94,0.11,2450931.3,R,True,66,1.2999999998137355,R
6,15.98,0.07,2450931.3,B,True,66,1.2999999998137355,B
7,15.69,0.06,2450931.92,R,True,66,1.9199999999254942,R
8,15.59,0.07,2450932.19,R,True,66,2.1899999999441206,R
9,15.55,0.08,2450932.19,V,True,66,2.1899999999441206,V
10,15.59,0.09,2450932.22,R,True,66,2.220000000204891,R
11,14.84,0.08,2450934.83,R,True,66,4.830000000074506,R
12,14.81,0.06,2450936.84,B,True,66,6.839999999850988,B
13,14.41,0.05,2450936.84,R,True,66,6.839999999850988,R
14,14.36,0.05,2450936.84,V,True,66,6.839999999850988,V
15,14.21,0.06,2450937.91,R,True,66,7.910000000149012,R
16,14.57,0.08,2450937.91,B,True,66,7.910000000149012,B
17,14.19,0.06,2450937.91,V,True,66,7.910000000149012,V
18,14.46,0.06,2450939.83,B,True,66,9.830000000074506,B
19,14.02,0.05,2450939.83,R,True,66,9.830000000074506,R
20,14.0,0.05,2450939.83,V,True,66,9.830000000074506,V
21,13.98,0.06,2450940.28,R,True,66,10.279999999795109,R
22,14.48,0.07,2450940.28,B,True,66,10.279999999795109,B
23,14.01,0.06,2450940.28,V,True,66,10.279999999795109,V
24,13.9,0.05,2450941.83,R,True,66,11.830000000074506,R
25,13.88,0.05,2450941.83,V,True,66,11.830000000074506,V
26,14.36,0.05,2450941.83,B,True,66,11.830000000074506,B
27,13.9,0.07,2450942.27,V,True,66,12.270000000018626,V
28,14.38,0.08,2450942.27,B,True,66,12.270000000018626,B
29,13.85,0.07,2450942.27,R,True,66,12.270000000018626,R
30,13.86,0.05,2450942.83,R,True,66,12.830000000074506,R
31,14.33,0.05,2450942.83,B,True,66,12.830000000074506,B
32,13.85,0.05,2450942.83,V,True,66,12.830000000074506,V
33,13.82,0.07,2450943.29,R,True,66,13.290000000037253,R
34,13.87,0.08,2450943.29,V,True,66,13.290000000037253,V
35,14.36,0.11,2450943.29,B,True,66,13.290000000037253,B
36,14.32,0.07,2450944.76,B,True,66,14.759999999776483,B
37,13.78,0.08,2450944.76,V,True,66,14.759999999776483,V
38,13.79,0.08,2450944.76,R,True,66,14.759999999776483,R
39,13.73,0.07,2450946.9,R,True,66,16.899999999906868,R
40,13.76,0.13,2450946.9,V,True,66,16.899999999906868,V
41,13.82,0.06,2450947.9,V,True,66,17.899999999906868,V
42,13.78,0.05,2450948.9,R,True,66,18.899999999906868,R
43,14.53,0.06,2450948.9,B,True,66,18.899999999906868,B
44,13.87,0.06,2450948.9,V,True,66,18.899999999906868,V
45,13.9,0.06,2450949.88,V,True,66,19.87999999988824,V
46,13.82,0.12,2450950.72,R,True,66,20.72000000020489,R
47,14.65,0.12,2450950.72,B,True,66,20.72000000020489,B
48,13.95,0.08,2450950.72,V,True,66,20.72000000020489,V
49,13.82,0.08,2450950.89,R,True,66,20.890000000130385,R
50,14.68,0.1,2450950.89,B,True,66,20.890000000130385,B
51,13.97,0.08,2450950.89,V,True,66,20.890000000130385,V
52,14.03,0.07,2450951.85,V,True,66,21.850000000093132,V
53,13.85,0.07,2450951.85,R,True,66,21.850000000093132,R
54,14.79,0.08,2450951.85,B,True,66,21.850000000093132,B
55,14.09,0.06,2450952.81,V,True,66,22.81000000005588,V
56,13.89,0.07,2450952.81,R,True,66,22.81000000005588,R
57,14.93,0.07,2450952.81,B,True,66,22.81000000005588,B
58,15.01,0.06,2450953.74,B,True,66,23.740000000223517,B
59,14.13,0.06,2450953.74,V,True,66,23.740000000223517,V
60,13.92,0.06,2450953.74,R,True,66,23.740000000223517,R
61,14.13,0.06,2450954.1,V,True,66,24.100000000093132,V
62,13.96,0.06,2450954.1,R,True,66,24.100000000093132,R
63,13.97,0.06,2450954.85,R,True,66,24.850000000093132,R
64,14.21,0.06,2450954.85,V,True,66,24.850000000093132,V
65,13.94,0.12,2450954.88,R,True,66,24.87999999988824,R
66,14.24,0.06,2450954.88,V,True,66,24.87999999988824,V
67,15.15,0.08,2450954.88,B,True,66,24.87999999988824,B
68,13.97,0.13,2450955.2,R,True,66,25.200000000186265,R
69,15.08,0.22,2450955.2,B,True,66,25.200000000186265,B
70,14.17,0.14,2450955.2,V,True,66,25.200000000186265,V
71,14.03,0.12,2450955.86,R,True,66,25.859999999869615,R
72,14.3,0.07,2450955.88,V,True,66,25.87999999988824,V
73,15.26,0.09,2450955.88,B,True,66,25.87999999988824,B
74,14.02,0.07,2450955.88,R,True,66,25.87999999988824,R
75,14.07,0.07,2450956.8,R,True,66,26.799999999813735,R
76,14.34,0.06,2450956.8,V,True,66,26.799999999813735,V
77,15.3,0.07,2450956.8,B,True,66,26.799999999813735,B
78,15.51,0.05,2450959.17,B,True,66,29.169999999925494,B
79,14.19,0.05,2450959.17,R,True,66,29.169999999925494,R
80,14.48,0.05,2450959.17,V,True,66,29.169999999925494,V
81,14.24,0.06,2450960.13,R,True,66,30.12999999988824,R
82,15.58,0.06,2450960.13,B,True,66,30.12999999988824,B
83,14.56,0.07,2450960.13,V,True,66,30.12999999988824,V
84,14.65,0.06,2450961.66,V,True,66,31.66000000014901,V
85,15.69,0.05,2450961.66,B,True,66,31.66000000014901,B
86,14.4,0.08,2450961.66,R,True,66,31.66000000014901,R
87,15.79,0.13,2450962.08,B,True,66,32.080000000074506,B
88,14.33,0.05,2450962.08,R,True,66,32.080000000074506,R
89,14.83,0.05,2450964.12,V,True,66,34.12000000011176,V
90,15.91,0.05,2450964.12,B,True,66,34.12000000011176,B
91,14.42,0.05,2450964.12,R,True,66,34.12000000011176,R
92,14.92,0.05,2450965.8,V,True,66,35.799999999813735,V
93,14.54,0.05,2450965.8,R,True,66,35.799999999813735,R
94,15.98,0.05,2450965.8,B,True,66,35.799999999813735,B
95,14.99,0.05,2450966.87,V,True,66,36.87000000011176,V
96,14.6,0.05,2450966.87,R,True,66,36.87000000011176,R
97,16.05,0.05,2450966.87,B,True,66,36.87000000011176,B
98,15.03,0.05,2450967.82,V,True,66,37.81999999983236,V
99,14.63,0.05,2450967.82,R,True,66,37.81999999983236,R
100,16.08,0.05,2450967.82,B,True,66,37.81999999983236,B
101,14.7,0.05,2450968.81,R,True,66,38.81000000005588,R
102,16.1,0.05,2450968.81,B,True,66,38.81000000005588,B
103,15.08,0.05,2450968.81,V,True,66,38.81000000005588,V
104,15.03,0.05,2450969.06,V,True,66,39.06000000005588,V
105,14.72,0.05,2450969.06,R,True,66,39.06000000005588,R
106,15.14,0.01,2450969.76,V,True,66,39.75999999977648,V
107,14.76,0.01,2450969.76,R,True,66,39.75999999977648,R
108,16.17,0.02,2450969.76,B,True,66,39.75999999977648,B
109,16.18,0.09,2450970.22,B,True,66,40.22000000020489,B
110,15.13,0.07,2450970.22,V,True,66,40.22000000020489,V
111,14.77,0.06,2450970.22,R,True,66,40.22000000020489,R
112,15.18,0.05,2450970.87,V,True,66,40.87000000011176,V
113,14.8,0.05,2450970.87,R,True,66,40.87000000011176,R
114,16.19,0.05,2450970.87,B,True,66,40.87000000011176,B
115,15.22,0.05,2450971.89,V,True,66,41.890000000130385,V
116,14.84,0.05,2450971.89,R,True,66,41.890000000130385,R
117,16.25,0.05,2450971.89,B,True,66,41.890000000130385,B
118,14.95,0.05,2450975.06,R,True,66,45.06000000005588,R
119,16.21,0.1,2450975.06,B,True,66,45.06000000005588,B
120,15.14,0.05,2450981.04,R,True,66,51.04000000003725,R
121,16.4,0.05,2450981.04,B,True,66,51.04000000003725,B
122,15.59,0.06,2450983.58,V,True,66,53.580000000074506,V
123,15.22,0.06,2450983.58,R,True,66,53.580000000074506,R
124,16.48,0.07,2450983.58,B,True,66,53.580000000074506,B
125,15.63,0.06,2450984.63,V,True,66,54.62999999988824,V
126,15.28,0.06,2450984.63,R,True,66,54.62999999988824,R
127,16.55,0.08,2450984.63,B,True,66,54.62999999988824,B
128,15.29,0.05,2450985.69,R,True,66,55.68999999994412,R
129,15.65,0.05,2450985.69,V,True,66,55.68999999994412,V
130,16.57,0.05,2450985.69,B,True,66,55.68999999994412,B
131,15.22,0.06,2450986.04,R,True,66,56.04000000003725,R
132,15.74,0.0,2450988.83,V,True,66,58.830000000074506,V
133,16.62,0.01,2450988.83,B,True,66,58.830000000074506,B
134,15.38,0.01,2450988.83,R,True,66,58.830000000074506,R
135,16.77,0.02,2450998.74,B,True,66,68.74000000022352,B
136,15.95,0.01,2450998.74,V,True,66,68.74000000022352,V
137,15.6,0.02,2450998.74,R,True,66,68.74000000022352,R
138,15.64,0.01,2450999.73,R,True,66,69.72999999998137,R
139,16.78,0.01,2450999.73,B,True,66,69.72999999998137,B
140,15.98,0.01,2450999.73,V,True,66,69.72999999998137,V
141,15.67,0.02,2451000.76,R,True,66,70.75999999977648,R
142,16.81,0.03,2451000.76,B,True,66,70.75999999977648,B
143,16.0,0.02,2451000.76,V,True,66,70.75999999977648,V
144,15.66,0.02,2451001.7,R,True,66,71.70000000018626,R
145,16.8,0.02,2451001.7,B,True,66,71.70000000018626,B
146,16.0,0.02,2451001.7,V,True,66,71.70000000018626,V
147,15.73,0.01,2451003.69,R,True,66,73.68999999994412,R
148,16.85,0.02,2451003.69,B,True,66,73.68999999994412,B
149,16.06,0.01,2451003.69,V,True,66,73.68999999994412,V
150,16.08,0.01,2451004.8,V,True,66,74.79999999981374,V
151,15.75,0.01,2451004.8,R,True,66,74.79999999981374,R
152,16.87,0.01,2451004.8,B,True,66,74.79999999981374,B
153,16.1,0.01,2451005.7,V,True,66,75.70000000018626,V
154,16.87,0.02,2451005.7,B,True,66,75.70000000018626,B
155,15.78,0.01,2451005.7,R,True,66,75.70000000018626,R
156,16.89,0.01,2451006.72,B,True,66,76.72000000020489,B
157,16.12,0.01,2451006.72,V,True,66,76.72000000020489,V
158,15.8,0.01,2451006.72,R,True,66,76.72000000020489,R
159,16.14,0.01,2451007.6,V,True,66,77.60000000009313,V
160,15.82,0.01,2451007.6,R,True,66,77.60000000009313,R
161,16.9,0.01,2451007.6,B,True,66,77.60000000009313,B
162,16.16,0.01,2451008.72,V,True,66,78.72000000020489,V
163,15.84,0.01,2451008.72,R,True,66,78.72000000020489,R
