,mag,mag_err,jd,band,sub,site,phase,filter
0,18.14,0.06,2.7434,B,True,1,2.7434,B
1,18.07,0.03,2.8817,B,True,1,2.8817,B
2,17.87,0.08,3.9729,B,True,1,3.9729,B
3,17.68,0.04,4.906,B,True,1,4.906,B
4,17.74,0.08,4.9719,B,True,1,4.9719,B
5,17.56,0.08,5.9728,B,True,1,5.9728,B
6,17.54,0.04,6.8977,B,True,1,6.8977,B
7,17.47,0.03,7.8908,B,True,1,7.8908,B
8,17.43,0.03,8.8993,B,True,1,8.8993,B
9,17.49,0.04,9.8547,B,True,1,9.8547,B
10,17.57,0.03,10.8847,B,True,1,10.8847,B
11,17.66,0.03,11.8807,B,True,1,11.8807,B
12,17.81,0.03,12.884,B,True,1,12.884,B
13,17.95,0.03,13.8813,B,True,1,13.8813,B
14,18.11,0.03,14.8629,B,True,1,14.8629,B
15,18.17,0.03,15.8874,B,True,1,15.8874,B
16,18.56,0.07,17.7409,B,True,1,17.7409,B
17,18.64,0.04,17.8842,B,True,1,17.8842,B
18,18.73,0.04,18.8493,B,True,1,18.8493,B
19,18.95,0.05,19.8519,B,True,1,19.8519,B
20,19.16,0.05,21.8487,B,True,1,21.8487,B
21,19.43,0.07,22.8655,B,True,1,22.8655,B
22,19.43,0.07,23.8486,B,True,1,23.8486,B
23,17.86,0.06,2.7279,V,True,1,2.7279,V
24,17.83,0.03,2.8833,V,True,1,2.8833,V
25,17.54,0.08,3.9787,V,True,1,3.9787,V
26,17.41,0.03,4.9083,V,True,1,4.9083,V
27,17.37,0.08,4.9776,V,True,1,4.9776,V
28,17.28,0.08,5.9785,V,True,1,5.9785,V
29,17.19,0.06,6.7223,V,True,1,6.7223,V
30,17.16,0.03,6.8993,V,True,1,6.8993,V
31,17.08,0.03,7.8923,V,True,1,7.8923,V
32,17.05,0.06,8.723,V,True,1,8.723,V
33,17.02,0.03,8.8666,V,True,1,8.8666,V
34,17.03,0.03,8.9007,V,True,1,8.9007,V
35,17.02,0.03,9.8563,V,True,1,9.8563,V
36,17.02,0.03,10.8863,V,True,1,10.8863,V
37,17.04,0.03,11.8823,V,True,1,11.8823,V
38,17.07,0.06,12.7183,V,True,1,12.7183,V
39,17.08,0.03,12.8855,V,True,1,12.8855,V
40,17.14,0.03,13.8841,V,True,1,13.8841,V
41,17.18,0.03,14.8644,V,True,1,14.8644,V
42,17.27,0.03,15.8889,V,True,1,15.8889,V
43,17.26,0.08,16.7422,V,True,1,16.7422,V
44,17.46,0.03,17.8528,V,True,1,17.8528,V
45,17.47,0.03,17.8857,V,True,1,17.8857,V
46,17.54,0.03,18.8508,V,True,1,18.8508,V
47,17.54,0.03,18.8577,V,True,1,18.8577,V
48,17.65,0.03,19.8534,V,True,1,19.8534,V
49,17.61,0.03,19.859,V,True,1,19.859,V
50,17.8,0.03,21.8497,V,True,1,21.8497,V
51,17.89,0.04,22.8667,V,True,1,22.8667,V
52,17.99,0.03,23.8501,V,True,1,23.8501,V
53,18.12,0.03,24.8502,V,True,1,24.8502,V
54,18.14,0.05,25.8533,V,True,1,25.8533,V
55,17.88,0.06,2.7088,R,True,1,2.7088,R
56,17.88,0.06,2.7872,R,True,1,2.7872,R
57,17.78,0.03,2.8849,R,True,1,2.8849,R
58,17.78,0.03,2.8884,R,True,1,2.8884,R
59,17.73,0.08,2.9804,R,True,1,2.9804,R
60,17.71,0.08,2.9822,R,True,1,2.9822,R
61,17.73,0.08,2.984,R,True,1,2.984,R
62,17.73,0.08,2.9859,R,True,1,2.9859,R
63,17.71,0.09,2.9877,R,True,1,2.9877,R
64,17.48,0.08,3.9827,R,True,1,3.9827,R
65,17.51,0.09,3.9908,R,True,1,3.9908,R
66,17.37,0.03,4.8734,R,True,1,4.8734,R
67,17.37,0.03,4.91,R,True,1,4.91,R
68,17.3,0.08,4.9816,R,True,1,4.9816,R
69,17.29,0.1,4.9897,R,True,1,4.9897,R
70,17.19,0.09,5.9825,R,True,1,5.9825,R
71,17.19,0.1,5.9905,R,True,1,5.9905,R
72,17.12,0.07,6.7155,R,True,1,6.7155,R
73,17.08,0.04,6.9009,R,True,1,6.9009,R
74,16.98,0.04,7.8939,R,True,1,7.8939,R
75,16.96,0.06,8.7187,R,True,1,8.7187,R
76,16.95,0.03,8.9022,R,True,1,8.9022,R
77,16.91,0.03,9.8578,R,True,1,9.8578,R
78,16.89,0.03,10.888,R,True,1,10.888,R
79,16.89,0.03,11.8838,R,True,1,11.8838,R
80,16.93,0.06,12.7114,R,True,1,12.7114,R
81,16.9,0.03,12.887,R,True,1,12.887,R
82,16.91,0.07,13.7111,R,True,1,13.7111,R
83,16.93,0.03,13.8856,R,True,1,13.8856,R
84,16.9,0.04,14.8658,R,True,1,14.8658,R
85,17.0,0.03,15.8592,R,True,1,15.8592,R
86,17.0,0.03,15.8904,R,True,1,15.8904,R
87,17.03,0.07,16.7344,R,True,1,16.7344,R
88,17.09,0.06,17.7341,R,True,1,17.7341,R
89,17.14,0.03,17.8871,R,True,1,17.8871,R
90,17.26,0.03,18.8522,R,True,1,18.8522,R
91,17.3,0.03,19.8548,R,True,1,19.8548,R
92,17.32,0.04,21.8507,R,True,1,21.8507,R
93,17.39,0.03,22.8679,R,True,1,22.8679,R
94,17.63,0.03,23.8523,R,True,1,23.8523,R
