,JD,filter,mag,mag_err,site,sub,time
0,2450931.3,B,15.98,0.07,1,True,2450931.3
1,2450936.84,B,14.81,0.06,1,True,2450936.84
2,2450937.91,B,14.57,0.08,1,True,2450937.91
3,2450939.83,B,14.46,0.06,1,True,2450939.83
4,2450940.28,B,14.48,0.07,1,True,2450940.28
5,2450941.83,B,14.36,0.05,1,True,2450941.83
6,2450942.27,B,14.38,0.08,1,True,2450942.27
7,2450942.83,B,14.33,0.05,1,True,2450942.83
8,2450943.29,B,14.36,0.11,1,True,2450943.29
9,2450944.76,B,14.32,0.07,1,True,2450944.76
10,2450948.9,B,14.53,0.06,1,True,2450948.9
11,2450950.72,B,14.65,0.12,1,True,2450950.72
12,2450950.89,B,14.68,0.1,1,True,2450950.89
13,2450951.85,B,14.79,0.08,1,True,2450951.85
14,2450952.81,B,14.93,0.07,1,True,2450952.81
15,2450953.74,B,15.01,0.06,1,True,2450953.74
16,2450954.88,B,15.15,0.08,1,True,2450954.88
17,2450955.2,B,15.08,0.22,1,True,2450955.2
18,2450955.88,B,15.26,0.09,1,True,2450955.88
19,2450956.8,B,15.3,0.07,1,True,2450956.8
20,2450959.17,B,15.51,0.05,1,True,2450959.17
21,2450960.13,B,15.58,0.06,1,True,2450960.13
22,2450961.66,B,15.69,0.05,1,True,2450961.66
23,2450962.08,B,15.79,0.13,1,True,2450962.08
24,2450964.12,B,15.91,0.05,1,True,2450964.12
25,2450965.8,B,15.98,0.05,1,True,2450965.8
26,2450966.87,B,16.05,0.05,1,True,2450966.87
27,2450967.82,B,16.08,0.05,1,True,2450967.82
28,2450968.81,B,16.1,0.05,1,True,2450968.81
29,2450969.76,B,16.17,0.02,1,True,2450969.76
30,2450970.22,B,16.18,0.09,1,True,2450970.22
31,2450970.87,B,16.19,0.05,1,True,2450970.87
32,2450971.89,B,16.25,0.05,1,True,2450971.89
33,2450975.06,B,16.21,0.1,1,True,2450975.06
34,2450981.04,B,16.4,0.05,1,True,2450981.04
35,2450983.58,B,16.48,0.07,1,True,2450983.58
36,2450984.63,B,16.55,0.08,1,True,2450984.63
37,2450985.69,B,16.57,0.05,1,True,2450985.69
38,2450988.83,B,16.62,0.01,1,True,2450988.83
39,2450998.74,B,16.77,0.02,1,True,2450998.74
40,2450999.73,B,16.78,0.01,1,True,2450999.73
41,2451000.76,B,16.81,0.03,1,True,2451000.76
42,2451001.7,B,16.8,0.02,1,True,2451001.7
43,2451003.69,B,16.85,0.02,1,True,2451003.69
44,2451004.8,B,16.87,0.01,1,True,2451004.8
45,2451005.7,B,16.87,0.02,1,True,2451005.7
46,2451006.72,B,16.89,0.01,1,True,2451006.72
47,2451007.6,B,16.9,0.01,1,True,2451007.6
48,2451008.72,B,16.92,0.01,1,True,2451008.72
49,2451015.57,B,17.02,0.01,1,True,2451015.57
50,2451059.57,B,17.71,0.02,1,True,2451059.57
51,2451088.55,B,18.19,0.02,1,True,2451088.55
52,2451255.0,B,21.18,0.08,1,True,2451255.0
53,2451276.0,B,21.53,0.05,1,True,2451276.0
54,2451285.0,B,21.63,0.1,1,True,2451285.0
55,2451319.0,B,22.16,0.05,1,True,2451319.0
56,2451346.0,B,22.54,0.08,1,True,2451346.0
57,2451432.0,B,23.51,0.09,1,True,2451432.0
58,2450930.13,V,15.88,0.08,1,True,2450930.13
59,2450930.31,V,15.93,0.08,1,True,2450930.31
60,2450932.19,V,15.55,0.08,1,True,2450932.19
61,2450936.84,V,14.36,0.05,1,True,2450936.84
62,2450937.91,V,14.19,0.06,1,True,2450937.91
63,2450939.83,V,14.0,0.05,1,True,2450939.83
64,2450940.28,V,14.01,0.06,1,True,2450940.28
65,2450941.83,V,13.88,0.05,1,True,2450941.83
66,2450942.27,V,13.9,0.07,1,True,2450942.27
67,2450942.83,V,13.85,0.05,1,True,2450942.83
68,2450943.29,V,13.87,0.08,1,True,2450943.29
69,2450944.76,V,13.78,0.08,1,True,2450944.76
70,2450946.9,V,13.76,0.13,1,True,2450946.9
71,2450947.9,V,13.82,0.06,1,True,2450947.9
72,2450948.9,V,13.87,0.06,1,True,2450948.9
73,2450949.88,V,13.9,0.06,1,True,2450949.88
74,2450950.72,V,13.95,0.08,1,True,2450950.72
75,2450950.89,V,13.97,0.08,1,True,2450950.89
76,2450951.85,V,14.03,0.07,1,True,2450951.85
77,2450952.81,V,14.09,0.06,1,True,2450952.81
78,2450953.74,V,14.13,0.06,1,True,2450953.74
79,2450954.1,V,14.13,0.06,1,True,2450954.1
80,2450954.85,V,14.21,0.06,1,True,2450954.85
81,2450954.88,V,14.24,0.06,1,True,2450954.88
82,2450955.2,V,14.17,0.14,1,True,2450955.2
83,2450955.88,V,14.3,0.07,1,True,2450955.88
84,2450956.8,V,14.34,0.06,1,True,2450956.8
85,2450959.17,V,14.48,0.05,1,True,2450959.17
86,2450960.13,V,14.56,0.07,1,True,2450960.13
87,2450961.66,V,14.65,0.06,1,True,2450961.66
88,2450964.12,V,14.83,0.05,1,True,2450964.12
89,2450965.8,V,14.92,0.05,1,True,2450965.8
90,2450966.87,V,14.99,0.05,1,True,2450966.87
91,2450967.82,V,15.03,0.05,1,True,2450967.82
92,2450968.81,V,15.08,0.05,1,True,2450968.81
93,2450969.06,V,15.03,0.05,1,True,2450969.06
94,2450969.76,V,15.14,0.01,1,True,2450969.76
