index,field,ccdid,qid,filter,pid,infobitssci,sciinpseeing,scibckgnd,scisigpix,zpmaginpsci,zpmaginpsciunc,zpmaginpscirms,clrcoeff,clrcoeffunc,ncalmatches,exptime,adpctdif1,adpctdif2,diffmaglim,zpdiff,programid,jd,rfid,forcediffimflux,forcediffimfluxunc,forcediffimsnr,forcediffimchisq,forcediffimfluxap,forcediffimfluxuncap,forcediffimsnrap,aperturecorr,dnearestrefsrc,nearestrefmag,nearestrefmagunc,nearestrefchi,nearestrefsharp,refjdstart,refjdend,procstatus,flux_corr,mag,mag_err,islimit,lim,plot_mag,plot_err
118,681,4,3,ZTF_i,478351891515,0,2.1974,202.39,6.11594,25.3512,1.5896e-06,0.0295125,0.193919,1.11207e-05,1585,30.0,0.05372,0.053181,19.6576,25.3512,2,2458232.8518981,681120315,7.74315250358541,35.22891210145543,0.290004007153767,1.40689353418005,85.5005157860791,55.5411723294663,1.54977583419672,1.04956361037509,4.40016967123142,18.8529998397827,0.17399999499321,8.34099960327148,0.99099999666214,2458227.89434,2458379.642257,0,35.77134356870911,21.467361868699555,1.069236602619744,True,19.7365269091397,19.7365269091397,
175,681,4,3,ZTF_i,495316631515,8,6.1238,211.306,5.98667,25.4497,6.9829e-06,0.038703,0.197582,4.78247e-05,635,30.0,0.103338,0.08176,19.0573,25.4497,2,2458249.8166319,681120315,269.846128742739,115.56385560000399,4.73752503541764,3.32663456538301,526.642466107351,82.6870440407221,6.41200129437207,1.22994690627165,4.40016967123142,18.8529998397827,0.17399999499321,8.34099960327148,0.99099999666214,2458227.89434,2458379.642257,0,297.87431980786266,19.264617340875397,0.42121012011325626,True,18.545219931803437,18.545219931803437,
229,681,4,3,ZTF_i,518359871515,0,1.7527,217.975,6.34663,25.4355,1.2282e-06,0.0255747,0.190977,8.5193e-06,1531,30.0,0.051582,0.063553,19.8098,25.4355,2,2458272.8598727,681120315,-15.8730995227495,34.423123417754155,-0.664207453725462,1.67677564426197,35.0612335676861,52.046537956756,0.678188682258499,1.04330559981758,4.40016967123142,18.8529998397827,0.17399999499321,8.34099960327148,0.99099999666214,2458227.89434,2458379.642257,0,12.1550915423742,22.723604415128893,3.0746938403851587,True,19.845949304312384,19.845949304312384,
255,681,4,3,ZTF_i,523310911515,0,1.7207,216.187,5.05127,25.4204,1.4853e-06,0.0286011,0.200363,1.05199e-05,1598,30.0,0.062084,0.071394,20.1038,25.4204,2,2458277.8109144,681120315,-39.2057386342322,33.3060511549807,-2.05109454226536,2.45362825760654,-70.0653765813536,42.3230855382271,-1.6666381958405,1.04131910781084,4.40016967123142,18.8529998397827,0.17399999499321,8.34099960327148,0.99099999666214,2458227.89434,2458379.642257,0,-11.177547569108498,,-3.2350906596809623,True,19.86666712728061,19.86666712728061,
285,681,4,3,ZTF_i,527310891515,0,1.7285,217.574,4.27374,25.4337,1.2095e-06,0.0258154,0.193193,8.39251e-06,1584,30.0,0.059304,0.062894,20.2433,25.4337,2,2458281.8108912,681120315,-31.5227619964722,34.97882676528532,-1.7784388442343,3.14724259316565,-21.2741847258654,38.2403847280649,-0.560074584403537,1.04542055765596,4.40016967123142,18.8529998397827,0.17399999499321,8.34099960327148,0.99099999666214,2458227.89434,2458379.642257,0,-3.494570931348502,,-10.867288993448964,True,19.826761892677496,19.826761892677496,
333,681,4,3,ZTF_i,536176721515,0,1.7332,206.738,7.63572,25.3895,1.0644e-06,0.0242945,0.189509,7.53439e-06,1606,30.0,0.040879,0.048525,19.5429,25.3895,2,2458290.6767245,681120315,33.734346973395,39.879622916212405,1.24168753916707,1.74129564847829,27.5914433493204,60.8485281825416,0.456498688422164,1.03342821880981,4.40016967123142,18.8529998397827,0.17399999499321,8.34099960327148,0.99099999666214,2458227.89434,2458379.642257,0,61.7625380385187,20.912687164069265,0.7010286166207921,True,19.640197381245866,19.640197381245866,
364,681,4,3,ZTF_i,540341441515,0,2.1351,220.671,7.60599,25.455,1.2893e-06,0.0266935,0.193741,9.16768e-06,1603,30.0,0.046378,0.052384,19.5415,25.455,2,2458294.8414468,681120315,-41.3024496642565,44.82974187756338,-1.31517819446561,1.64679846137978,-130.534310767862,65.9491913686616,-1.99264712931127,1.04948309160948,4.40016967123142,18.8529998397827,0.17399999499321,8.34099960327148,0.99099999666214,2458227.89434,2458379.642257,0,-13.2742585991328,,-3.6666191481044565,True,19.57865939347175,19.57865939347175,
425,681,4,3,ZTF_i,554183491515,0,1.4393,118.641,5.31836,24.772,1.51498e-05,0.0906901,0.172953,0.000106633,1574,30.0,0.063389,0.055961,19.3795,24.772,2,2458308.6834954,681120315,-95.0486720863076,66.70106450142895,-4.0719937219458,6.59899835012591,-367.491251702291,54.71809337991,-6.76131611270499,1.03148685451386,4.40016967123142,18.8529998397827,0.17399999499321,8.34099960327148,0.99099999666214,2458227.89434,2458379.642257,0,-67.02048102118391,,-1.0805256039017634,True,18.464243076654654,18.464243076654654,
434,681,4,3,ZTF_i,558177961515,0,2.1514,193.667,5.29395,25.3251,1.4918e-06,0.0285267,0.195718,1.0474e-05,1581,30.0,0.063998,0.056362,19.7555,25.3251,2,2458312.677963,681120315,-39.4272101654998,34.89557814861117,-1.66348557449355,1.75177037064435,-37.4058569015769,50.0667833949945,-0.752151125884322,1.04538000865914,4.40016967123142,18.8529998397827,0.17399999499321,8.34099960327148,0.99099999666214,2458227.89434,2458379.642257,0,-11.399019100376101,,-3.323630644210179,True,19.720748993919972,19.720748993919972,
473,681,4,3,ZTF_i,566247251515,0,1.7184,212.746,6.32067,25.4114,1.4659e-06,0.0284505,0.189154,1.04389e-05,1605,30.0,0.05312,0.074553,19.794,25.4114,2,2458320.7472569,681120315,32.9986072411435,38.33231953034479,1.33087764941552,1.93154860059199,57.1502521481851,54.4950717852675,1.05578652343554,1.04222025089266,4.40016967123142,18.8529998397827,0.17399999499321,8.34099960327148,0.99099999666214,2458227.89434,2458379.642257,0,61.0267983062672,20.947598535390146,0.6819528546333948,True,19.70506223995764,19.70506223995764,
504,681,4,3,ZTF_i,571311621515,0,1.462,207.866,9.86867,25.3941,1.5528e-06,0.0292807,0.19287,1.09539e-05,1608,30.0,0.058082,0.066405,19.333,25.3941,2,2458325.8116204,681120315,-45.8880158176153,51.621818486231135,-1.22133132862336,1.52554643993046,-66.427192971136,86.4688054411541,-0.773395487499711,1.03699137793047,4.40016967123142,18.8529998397827,0.17399999499321,8.34099960327148,0.99099999666214,2458227.89434,2458379.642257,0,-17.859824752491598,,-3.138093968289486,True,19.364591740644155,19.364591740644155,
532,681,4,3,ZTF_i,577327681515,0,2.2988,197.979,7.88347,25.3389,1.8822e-06,0.0321538,0.199912,1.2749e-05,1571,30.0,0.05738,0.053157,19.3009,25.3389,2,2458331.8276852,681120315,49.2462426797944,39.724298019846586,1.55821329057544,1.27676352570676,77.2963584306975,63.3080011616397,1.22918039464368,1.05506375444001,4.40016967123142,18.8529998397827,0.17399999499321,8.34099960327148,0.99099999666214,2458227.89434,2458379.642257,0,77.2744337449181,20.618810421739237,0.5581234086103384,True,19.593834410666616,19.593834410666616,
544,681,4,3,ZTF_i,584153001515,0,1.7982,207.391,9.74381,25.3933,1.4903e-06,0.0283417,0.189788,1.02225e-05,1549,30.0,0.052129,0.058039,19.2897,25.3933,2,2458338.6530093,681120315,-36.0664181635253,42.7752272129294,-0.929786566250997,0.982733033946262,-53.4592722924091,86.3084631659668,-0.623569480823462,1.03911390920608,4.40016967123142,18.8529998397827,0.17399999499321,8.34099960327148,0.99099999666214,2458227.89434,2458379.642257,0,-8.038227098401599,,-5.77752576738125,True,19.56789417641148,19.56789417641148,
547,681,4,3,ZTF_i,588362951515,0,2.6683,172.912,7.28456,25.1974,2.6508e-06,0.0380605,0.208065,1.86186e-05,1590,30.0,0.089771,0.074097,18.999,25.1974,2,2458342.8629514,681120315,-40.4020348504484,50.30519947182619,-0.997987983672635,1.24784400000831,-20.7977212776669,72.1258212132783,-0.290295413970445,1.07370199004518,4.40016967123142,18.8529998397827,0.17399999499321,8.34099960327148,0.99099999666214,2458227.89434,2458379.642257,0,-12.373843785324702,,-4.4138552267272315,True,19.195942800614475,19.195942800614475,
550,681,4,3,ZTF_i,591163961515,0,1.9247,211.368,5.3704,25.4006,1.778e-06,0.0313838,0.192575,1.25773e-05,1607,30.0,0.059949,0.062701,19.932,25.4006,2,2458345.6639699,681120315,-70.2308758398505,40.07539967268135,-2.98630218861307,2.34669937955922,-233.105397189533,50.5124500344779,-4.64589176116227,1.04975513544663,4.40016967123142,18.8529998397827,0.17399999499321,8.34099960327148,0.99099999666214,2458227.89434,2458379.642257,0,-42.2026847747268,,-1.0309737794379885,True,19.645980333473815,19.645980333473815,
553,681,4,3,ZTF_i,593360261515,0,3.7574,164.521,6.40574,25.1349,2.6922e-06,0.038219,0.206157,1.84849e-05,1562,30.0,0.112531,0.083496,19.0525,25.1349,2,2458347.8602662,681120315,63.7800473368454,53.73480196383721,1.89512169977222,2.06018507954308,134.460362695337,60.4766122632459,2.23831917675922,1.07002018993103,4.40016967123142,18.8529998397827,0.17399999499321,8.34099960327148,0.99099999666214,2458227.89434,2458379.642257,0,91.8082384019691,20.227695864208787,0.6354535879090213,True,19.06183585753111,19.06183585753111,
647,681,4,3,ZTF_i,612281731515,0,2.2699,207.787,6.9399,25.3917,1.7463e-06,0.0311064,0.193334,1.21145e-05,1607,30.0,0.075773,0.062274,19.3947,25.3917,2,2458366.7817361,681120315,-5.42856979998441,43.98818873438932,-0.173575656180144,1.59870869190033,-45.7849329519092,60.7197330902507,-0.759115608118065,1.05868376093794,4.40016967123142,18.8529998397827,0.17399999499321,8.34099960327148,0.99099999666214,2458227.89434,2458379.642257,0,22.59962126513929,22.006447097246358,2.1132202150039943,True,19.535934789767627,19.535934789767627,
680,681,4,3,ZTF_i,617281551515,0,4.1569,205.485,7.03811,25.4019,3.0036e-06,0.0398115,0.203726,2.08902e-05,1549,30.0,0.084473,0.075365,19.018,25.4019,2,2458371.7815509,681120315,108.419521462909,59.240426376508665,2.10822033851949,1.07236782353013,111.35522141658,81.2706010551753,1.37940662163338,1.11267743673887,4.40016967123142,18.8529998397827,0.17399999499321,8.34099960327148,0.99099999666214,2458227.89434,2458379.642257,0,136.4477125280327,20.064484351611817,0.4713697996495302,True,19.22292955004097,19.22292955004097,
718,681,4,3,ZTF_i,625142251515,0,2.165,214.935,5.47233,25.441,1.4879e-06,0.0285376,0.193489,1.05459e-05,1600,30.0,0.061464,0.053671,19.8519,25.441,2,2458379.6422569,681120315,-44.2755078090945,30.37422487925676,-1.95661685076862,1.45608015451213,-126.770798306022,46.4062893288381,-2.75015754916328,1.0536830916567,4.40016967123142,18.8529998397827,0.17399999499321,8.34099960327148,0.99099999666214,2458227.89434,2458379.642257,0,-16.2473167439708,,-2.0297072108012286,True,19.987311979224838,19.987311979224838,
808,681,4,3,ZTF_i,784559401515,0,1.5137,178.427,9.19962,25.2061,1.649e-06,0.0300494,0.18927,1.14646e-05,1584,30.0,0.049858,0.057697,19.1744,25.2061,2,2458539.0594097,681120315,-19.0840458073927,51.19317610370368,-0.562882297774101,1.84250564799747,-68.1198921092216,75.8575882765565,-0.904045133254559,1.0415599476084,4.40016967123142,18.8529998397827,0.17399999499321,8.34099960327148,0.99099999666214,2458227.89434,2458379.642257,0,8.944145257730998,22.827252890560843,6.214169123399395,True,19.18564480244381,19.18564480244381,
828,681,4,3,ZTF_i,789553351515,0,2.9908,115.169,7.43826,24.778,5.0935e-06,0.0480366,0.190884,3.09888e-05,1282,30.0,0.063383,0.074691,18.3951,24.778,2,2458544.0533565,681120315,-57.7201769498496,47.35652959904168,-1.4068956441948,1.07675921636112,-114.022996566811,66.7053677202431,-1.72086523067251,1.08596515950099,4.40016967123142,18.8529998397827,0.17399999499321,8.34099960327148,0.99099999666214,2458227.89434,2458379.642257,0,-29.691985884725902,,-1.7316114989845917,True,18.842125317331067,18.842125317331067,
836,681,4,3,ZTF_i,802536961515,0,3.398,214.108,5.69213,25.4328,2.1876e-06,0.0345223,0.20377,1.55395e-05,1594,30.0,0.067225,0.072985,19.2365,25.4328,2,2458557.0369676,681120315,8.75303296387262,45.057819908628254,0.226048209833837,1.09424800514669,-7.81046758717472,60.1654493231019,-0.130690813817785,1.11322274123083,4.40016967123142,18.8529998397827,0.17399999499321,8.34099960327148,0.99099999666214,2458227.89434,2458379.642257,0,36.78122402899632,21.51873455532279,1.3300067185429283,True,19.550949552012973,19.550949552012973,
