index,field,ccdid,qid,filter,pid,infobitssci,sciinpseeing,scibckgnd,scisigpix,zpmaginpsci,zpmaginpsciunc,zpmaginpscirms,clrcoeff,clrcoeffunc,ncalmatches,exptime,adpctdif1,adpctdif2,diffmaglim,zpdiff,programid,jd,rfid,forcediffimflux,forcediffimfluxunc,forcediffimsnr,forcediffimchisq,forcediffimfluxap,forcediffimfluxuncap,forcediffimsnrap,aperturecorr,dnearestrefsrc,nearestrefmag,nearestrefmagunc,nearestrefchi,nearestrefsharp,refjdstart,refjdend,procstatus,flux_corr,mag,mag_err,islimit,lim,plot_mag,plot_err
0,681,4,3,ZTF_r,444421041515,0,1.6768,290.862,6.12207,26.1551,1.6743e-06,0.0209065,0.0933975,3.46931e-06,1576,30.0,0.043498,0.042715,20.5838,26.275,2,2458198.9210417,681120215,13.0682088349512,31.85094231462963,0.506026900370012,1.22927782044265,115.880813031326,57.2399631413033,2.0381088765954,1.0235138550738,3.03641650079791,17.1880001068115,0.137999996542931,8.93099975585938,0.83899998664856,2458157.033507,2458218.002708,0,59.6619249995179,21.835756845454455,0.579608654452112,True,20.7697692753473,20.7697692753473,
1,681,4,3,ZTF_r,444454621515,0,2.0565,290.858,5.95417,26.1826,2.2442e-06,0.0241972,0.0935324,4.62026e-06,1575,30.0,0.050315,0.047906,20.5328,26.275,2,2458198.9546296,681120215,-10.7487254885131,40.235457771712255,-0.418847291012636,1.98657867867583,-96.4002847230322,55.7695862098025,-1.74018766827367,1.02671021579457,3.03641650079791,17.1880001068115,0.137999996542931,8.93099975585938,0.83899998664856,2458157.033507,2458218.002708,0,35.8449906760536,22.388928820614932,1.2186817649789778,True,20.516052622163095,20.516052622163095,
2,681,4,3,ZTF_r,444465161515,0,1.6878,290.851,5.99524,26.1745,1.7084e-06,0.0211098,0.0964996,3.52338e-06,1575,30.0,0.040222,0.048227,20.5896,26.275,2,2458198.965162,681120215,-30.6968144977401,32.563822253227414,-1.26606105327367,1.45775261009843,-84.9554783347547,53.0412481591199,-1.61247446728003,1.02554905418137,3.03641650079791,17.1880001068115,0.137999996542931,8.93099975585938,0.83899998664856,2458157.033507,2458218.002708,0,15.8969016668266,23.271718780412797,2.223989464192654,True,20.74573655036312,20.74573655036312,
3,681,4,3,ZTF_r,444494751515,0,1.5357,290.859,5.81797,26.1736,2.7134e-06,0.0266771,0.0895595,5.60761e-06,1582,30.0,0.054431,0.062778,20.6583,26.275,2,2458198.9947569,681120215,80.5239874509989,41.55406998621722,3.37860411990209,2.45664046557703,217.699194623879,52.7936204068966,4.15136165195338,1.01900096494702,3.03641650079791,17.1880001068115,0.137999996542931,8.93099975585938,0.83899998664856,2458157.033507,2458218.002708,0,127.1177036155656,21.014484903175706,0.35490928879957884,True,20.481041071928768,20.481041071928768,
4,681,4,3,ZTF_r,444495701515,0,1.5067,290.844,5.68467,26.1887,2.669e-06,0.0264905,0.0886722,5.52548e-06,1581,30.0,0.058276,0.061786,20.681,26.275,1,2458198.995706,681120215,-37.8464767445763,41.95795039335787,-1.62867749006251,2.63474266802637,-82.9846610922404,52.1690663858873,-1.60140047248021,1.01783391093927,3.03641650079791,17.1880001068115,0.137999996542931,8.93099975585938,0.83899998664856,2458157.033507,2458218.002708,0,8.7472394199904,23.920322465681053,5.207785514360442,True,20.47053932625912,20.47053932625912,
5,681,4,3,ZTF_r,444518731515,0,1.7567,290.84,5.85704,26.1689,2.0491e-06,0.0231568,0.093447,4.22814e-06,1579,30.0,0.043414,0.046289,20.6208,26.275,2,2458199.0187384,681120215,5.62175588694386,38.84905723709425,0.221052955221477,1.88581918617409,-91.3169971631261,54.8981791644524,-1.67459146718772,1.02797651393477,3.03641650079791,17.1880001068115,0.137999996542931,8.93099975585938,0.83899998664856,2458157.033507,2458218.002708,0,52.21547205151056,21.98050197855879,0.8077763119847737,True,20.55412377891708,20.55412377891708,
6,681,4,3,ZTF_r,444519681515,0,1.5252,290.825,5.92048,26.1633,2.3932e-06,0.0249853,0.0908241,4.94342e-06,1579,30.0,0.053715,0.049848,20.6398,26.275,1,2458199.0196875,681120215,-7.47314100088351,46.58639634686537,-0.295388679347075,2.74024865742893,95.6272766468539,55.4613910361091,1.73582613162908,1.01977331677264,3.03641650079791,17.1880001068115,0.137999996542931,8.93099975585938,0.83899998664856,2458157.033507,2458218.002708,0,39.12057516368319,22.29398692173962,1.292896392810339,True,20.356927196040097,20.356927196040097,
7,681,4,3,ZTF_r,444528041515,0,1.4818,290.838,6.10933,26.1653,2.1684e-06,0.0237902,0.0936822,4.46551e-06,1580,30.0,0.055455,0.049015,20.6148,26.275,2,2458199.028044,681120215,2.27666830787069,46.39845489578022,0.0848331909257313,2.4156250048864,-63.3110621084015,58.1576772692314,-1.09594242320297,1.02034620243123,3.03641650079791,17.1880001068115,0.137999996542931,8.93099975585938,0.83899998664856,2458157.033507,2458218.002708,0,48.870384472437394,22.05238561070657,1.0307838381905852,True,20.3613161930211,20.3613161930211,
60,681,4,3,ZTF_r,462377391515,0,4.1054,147.816,5.18767,26.0626,2.7449e-06,0.0267955,0.104378,5.66479e-06,1576,30.0,0.063411,0.053653,20.1373,26.0626,2,2458216.8773958,681120215,-89.6204328105156,50.351288627578235,-2.36734686468686,1.42962223697545,-163.921642621404,61.5354744819258,-2.68179721867826,1.10498582842206,3.03641650079791,17.1880001068115,0.137999996542931,8.93099975585938,0.83899998664856,2458157.033507,2458218.002708,0,-43.026716645948895,,-1.2705220924197271,True,20.060148514612873,20.060148514612873,
62,681,4,3,ZTF_r,462401301515,0,4.271,149.159,5.68389,26.0732,4.5654e-06,0.0344386,0.100719,9.45518e-06,1571,30.0,0.075476,0.066264,19.8434,26.0732,2,2458216.9013079,681120215,76.0200248899729,61.46590447152338,1.6691641332979,1.47197700099446,116.174358613648,65.8739583817139,1.77546336179272,1.18039321958605,3.03641650079791,17.1880001068115,0.137999996542931,8.93099975585938,0.83899998664856,2458157.033507,2458218.002708,0,122.6137410545396,20.851852141637032,0.5442581876288183,True,19.854189297527224,19.854189297527224,
64,681,4,3,ZTF_r,463408131515,0,2.3027,155.417,5.3158,26.1194,2.0594e-06,0.0231813,0.0959409,4.25416e-06,1575,30.0,0.047833,0.045219,20.6056,26.1194,2,2458217.9081366,681120215,-36.6670119235322,35.114126220085616,-1.51604316623771,1.70343758078932,-53.260673923462,50.1257552775222,-1.06969735078942,1.05336609250632,3.03641650079791,17.1880001068115,0.137999996542931,8.93099975585938,0.83899998664856,2458157.033507,2458218.002708,0,9.9267042410345,23.627387293543418,3.840489845517345,True,20.508270324402684,20.508270324402684,
65,681,4,3,ZTF_r,463423441515,0,2.2398,158.114,5.50661,26.1286,1.9266e-06,0.022425,0.0959296,3.98504e-06,1575,30.0,0.045743,0.043315,20.6092,26.1286,2,2458217.9234491,681120215,5.72867877273663,33.53012788255897,0.254345213778785,1.79101414398028,-80.0135940902674,45.4866263330701,-1.77090491741913,1.05159069856311,3.03641650079791,17.1880001068115,0.137999996542931,8.93099975585938,0.83899998664856,2458157.033507,2458218.002708,0,52.32239493730333,21.83188096349413,0.6957567574212898,True,20.567586964625793,20.567586964625793,
66,681,4,3,ZTF_r,463445721515,0,3.2112,157.514,5.56929,26.1337,2.2384e-06,0.0240946,0.09906,4.61854e-06,1571,30.0,0.05016,0.046025,20.3992,26.1337,2,2458217.9457292,681120215,-1.62277808794083,36.52765846848885,-0.0572782174852452,1.34336733351462,20.2505633418474,52.8628696678037,0.385657308791275,1.06803315873798,3.03641650079791,17.1880001068115,0.137999996542931,8.93099975585938,0.83899998664856,2458157.033507,2458218.002708,0,44.97093807662587,22.001370132800567,0.8818601633718436,True,20.479720405318325,20.479720405318325,
67,681,4,3,ZTF_r,463472621515,0,2.8523,156.844,5.68554,26.1397,2.1646e-06,0.0238127,0.0989294,4.47334e-06,1578,30.0,0.057227,0.045553,20.3971,26.1397,2,2458217.9726273,681120215,-13.4684563236493,37.981650495904496,-0.49335351981619,1.564295808215,-88.3923618200329,51.8467665530004,-1.71635948350934,1.06171901300662,3.03641650079791,17.1880001068115,0.137999996542931,8.93099975585938,0.83899998664856,2458157.033507,2458218.002708,0,33.1252598409174,22.339301765880556,1.2448710784893715,True,20.443340406371703,20.443340406371703,
69,681,4,3,ZTF_r,464431861515,0,4.14,155.67,5.33072,26.1206,2.5185e-06,0.0256034,0.102304,5.20735e-06,1578,30.0,0.062989,0.050462,20.2489,26.1206,2,2458218.9318634,681120215,-95.0852884251214,46.71527295710958,-3.03907201489384,1.80162129185181,-258.015041655982,53.7098473391033,-4.8362227910727,1.09906851555434,3.03641650079791,17.1880001068115,0.137999996542931,8.93099975585938,0.83899998664856,2458157.033507,2458218.002708,0,-48.491572260554705,,-1.0459296221003518,True,20.199527762230954,20.199527762230954,
70,681,4,3,ZTF_r,465383271515,0,3.5756,162.663,5.44533,26.1515,2.3635e-06,0.0249282,0.104743,4.9278e-06,1592,30.0,0.059015,0.052617,20.2533,26.1515,2,2458219.8832755,681120215,-17.1730798333846,45.02594035000493,-0.549574035376912,1.67792295703056,-79.08948754371,52.7839162239525,-1.5084549515974,1.09406566564025,3.03641650079791,17.1880001068115,0.137999996542931,8.93099975585938,0.83899998664856,2458157.033507,2458218.002708,0,29.4206363311821,22.479869845665306,1.6615773665707185,True,20.27041800999773,20.27041800999773,
71,681,4,3,ZTF_r,465407481515,0,3.4051,156.399,5.69428,26.1088,3.0554e-06,0.0283146,0.106991,6.35886e-06,1588,30.0,0.062525,0.061461,20.0735,26.1088,2,2458219.9074884,681120215,43.9869233988801,55.38093830142219,1.10855810321724,1.57427560191892,25.6197079372241,63.7423645958807,0.404632904783637,1.11099848852153,3.03641650079791,17.1880001068115,0.137999996542931,8.93099975585938,0.83899998664856,2458157.033507,2458218.002708,0,90.5806395634468,21.21621154303928,0.6637962041738328,True,20.00297421520098,20.00297421520098,
72,681,4,3,ZTF_r,465427681515,0,3.6849,140.324,5.76389,26.0048,3.0954e-06,0.0283794,0.105653,6.42051e-06,1575,30.0,0.0702,0.056423,19.9728,26.0048,2,2458219.9276852,681120215,-1.67629821927371,61.74411581861005,-0.039928101113613,1.74797934123377,-13.5866256566151,68.5855128104393,-0.199431801289029,1.11869098635142,3.03641650079791,17.1880001068115,0.137999996542931,8.93099975585938,0.83899998664856,2458157.033507,2458218.002708,0,44.91741794529299,21.87376304222087,1.4924185229416056,True,19.780886049483392,19.780886049483392,
73,681,4,3,ZTF_r,465448961515,0,3.5058,152.314,5.48374,26.0944,2.8825e-06,0.0274701,0.105012,5.95814e-06,1581,30.0,0.068625,0.0567,20.0941,26.0944,1,2458219.9489699,681120215,53.2127237681419,69.50730161730282,1.22444187326289,2.06726724172273,161.387250179827,70.9428737780019,2.29021174281171,1.1220782544297,3.03641650079791,17.1880001068115,0.137999996542931,8.93099975585938,0.83899998664856,2458157.033507,2458218.002708,0,99.8064399327086,21.096503588239344,0.7561042896308595,True,19.741898917053696,19.741898917053696,
