,flux,flux_err,mag,mag_err,jd,band,sub,site,phase,filter
0,1.000241152940084e-16,1.0439265404526196e-17,19.43286761313359,0.11340889495819235,2458995.8753935,B,True,88,1.2453935001976788,B
1,1.6372966009919486e-16,8.179475302618243e-18,18.897713533250943,0.0542704027930013,2458996.8753935,B,True,88,2.245393500197679,B
2,2.4297783421383784e-16,7.006635494955222e-18,18.46903476518955,0.03131763999662765,2458997.8753935,B,True,88,3.245393500197679,B
3,3.24628650466548e-16,6.81284307069404e-18,18.15442318347443,0.022788175138271995,2458998.8753935,B,True,88,4.245393500197679,B
4,3.935450183918007e-16,7.198185485131906e-18,17.945368962545974,0.019859061779169036,2458999.8753935,B,True,88,5.245393500197679,B
5,4.3978737767026796e-16,8.63337896972717e-18,17.82473104204294,0.021313373244943246,2459000.8753935,B,True,88,6.245393500197679,B
6,4.594597658303912e-16,1.1138034817623295e-17,17.777213546653698,0.02631979353540999,2459001.8753935,B,True,88,7.245393500197679,B
7,4.553414918886768e-16,1.3555496107153279e-17,17.786989808669972,0.03232263378037612,2459002.8753935,B,True,88,8.245393500197679,B
8,4.342157121170582e-16,1.487180590212244e-17,17.838572052196458,0.037186699317111806,2459003.8753935,B,True,88,9.245393500197679,B
9,4.0282904675441157e-16,1.4630242960687163e-17,17.920037423894758,0.03943268576408663,2459004.8753935,B,True,88,10.245393500197679,B
10,3.6642586683284054e-16,1.2978471325268191e-17,18.022877221646507,0.038455325123405354,2459005.8753935,B,True,88,11.245393500197679,B
11,3.286823276695256e-16,1.056131537020278e-17,18.140904217382893,0.03488631087510571,2459006.8753935,B,True,88,12.245393500197679,B
12,2.9191242600308614e-16,8.538251237064967e-18,18.269715714247415,0.03175676976153926,2459007.8753935,B,True,88,13.245393500197679,B
13,2.5702739050358645e-16,7.675943130121827e-18,18.407901090053922,0.03242514090186502,2459008.8753935,B,True,88,14.245393500197679,B
14,2.235321210409066e-16,6.7124330119328646e-18,18.559504190381535,0.032603084367823325,2459009.8753935,B,True,88,15.245393500197679,B
15,1.9055522811730765e-16,5.41036372299675e-18,18.732809446751023,0.030826796892265765,2459010.8753935,B,True,88,16.24539350019768,B
16,1.5884192237672528e-16,4.929408961351724e-18,18.930454984524946,0.033695793657330865,2459011.8753935,B,True,88,17.24539350019768,B
17,1.3237986023285036e-16,4.8027965382953294e-18,19.128306375693242,0.039393409048550265,2459012.8753935,B,True,88,18.24539350019768,B
18,1.1432102864540184e-16,5.45734771239473e-18,19.28753257058037,0.051833490372547315,2459013.8753935,B,True,88,19.24539350019768,B
19,1.0270125467239503e-16,6.2718631934352e-18,19.40390140816462,0.06630683134226446,2459014.8753935,B,True,88,20.24539350019768,B
20,9.465106357827086e-17,6.2531067593741625e-18,19.492523437769034,0.07172881772733372,2459015.8753935,B,True,88,21.24539350019768,B
21,8.904778923106706e-17,5.0584496221808975e-18,19.558776824552297,0.06167466794148003,2459016.8753935,B,True,88,22.24539350019768,B
22,8.530610617699874e-17,3.573573299906243e-18,19.605383057673738,0.04548234281894855,2459017.8753935,B,True,88,23.24539350019768,B
23,8.249500265236021e-17,4.407802276575724e-18,19.64176395421812,0.058013436907966606,2459018.8753935,B,True,88,24.24539350019768,B
24,7.945263651299539e-17,5.39767895145449e-18,19.68256338876331,0.07376095719902358,2459019.8753935,B,True,88,25.24539350019768,B
25,7.458050498097705e-17,4.7145682565750625e-18,19.751275081320745,0.06863201079582189,2459020.8753935,B,True,88,26.24539350019768,B
26,6.775006742174423e-17,3.431550911842297e-18,19.8555697507294,0.05499303277266759,2459021.8753935,B,True,88,27.24539350019768,B
27,6.008494356971272e-17,5.250786500349334e-18,19.985934288653652,0.09489785751519302,2459022.8753935,B,True,88,28.24539350019768,B
28,5.285563582743809e-17,8.497183893451e-18,20.125119147142513,0.17456489510464748,2459023.8753935,B,True,88,29.24539350019768,B
29,4.751620743849239e-17,1.1288505683357528e-17,20.24073528807946,0.257952980022605,2459024.8753935,B,True,88,30.24539350019768,B
30,4.443338627629386e-17,1.3463710431465833e-17,20.313561324817922,0.3289941430801232,2459025.8753935,B,True,88,31.24539350019768,B
31,4.211622908203893e-17,1.5268159907642225e-17,20.371712078327914,0.3936135495649813,2459026.8753935,B,True,88,32.24539350019768,B
32,3.8905291762788866e-17,1.6886334187930365e-17,20.457819576052245,0.47126532087796313,2459027.8753935,B,True,88,33.24539350019768,B
