,flux,flux_err,lum,lum_err,radius,radius_err,temp,temp_err,jd,band,sub,site,phase,filter
0,1.000241152940084e-16,1.0439265404526197e-17,,,,,,,2458995.8753935,B,True,88,1.2453935001976788,B
1,1.6372966009919486e-16,8.179475302618243e-18,,,,,,,2458996.8753935,B,True,88,2.245393500197679,B
2,2.4297783421383784e-16,7.006635494955222e-18,,,,,,,2458997.8753935,B,True,88,3.245393500197679,B
3,3.24628650466548e-16,6.81284307069404e-18,,,,,,,2458998.8753935,B,True,88,4.245393500197679,B
4,3.935450183918007e-16,7.198185485131906e-18,,,,,,,2458999.8753935,B,True,88,5.245393500197679,B
5,4.3978737767026796e-16,8.63337896972717e-18,,,,,,,2459000.8753935,B,True,88,6.245393500197679,B
6,4.594597658303912e-16,1.1138034817623297e-17,,,,,,,2459001.8753935,B,True,88,7.245393500197679,B
7,4.553414918886768e-16,1.355549610715328e-17,,,,,,,2459002.8753935,B,True,88,8.245393500197679,B
8,4.3421571211705824e-16,1.487180590212244e-17,,,,,,,2459003.8753935,B,True,88,9.245393500197679,B
9,4.0282904675441157e-16,1.4630242960687166e-17,,,,,,,2459004.8753935,B,True,88,10.245393500197679,B
10,3.6642586683284044e-16,1.2978471325268192e-17,,,,,,,2459005.8753935,B,True,88,11.245393500197679,B
11,3.286823276695256e-16,1.0561315370202779e-17,,,,,,,2459006.8753935,B,True,88,12.245393500197679,B
12,2.919124260030861e-16,8.538251237064967e-18,,,,,,,2459007.8753935,B,True,88,13.245393500197679,B
13,2.570273905035864e-16,7.675943130121828e-18,,,,,,,2459008.8753935,B,True,88,14.245393500197679,B
14,2.235321210409066e-16,6.712433011932865e-18,,,,,,,2459009.8753935,B,True,88,15.245393500197679,B
15,1.9055522811730763e-16,5.410363722996749e-18,,,,,,,2459010.8753935,B,True,88,16.24539350019768,B
16,1.5884192237672528e-16,4.929408961351724e-18,,,,,,,2459011.8753935,B,True,88,17.24539350019768,B
17,1.3237986023285036e-16,4.80279653829533e-18,,,,,,,2459012.8753935,B,True,88,18.24539350019768,B
18,1.1432102864540184e-16,5.45734771239473e-18,,,,,,,2459013.8753935,B,True,88,19.24539350019768,B
19,1.0270125467239503e-16,6.2718631934352006e-18,,,,,,,2459014.8753935,B,True,88,20.24539350019768,B
20,9.465106357827086e-17,6.2531067593741625e-18,,,,,,,2459015.8753935,B,True,88,21.24539350019768,B
21,8.904778923106706e-17,5.0584496221808975e-18,,,,,,,2459016.8753935,B,True,88,22.24539350019768,B
22,8.530610617699874e-17,3.573573299906243e-18,,,,,,,2459017.8753935,B,True,88,23.24539350019768,B
23,8.249500265236021e-17,4.4078022765757245e-18,,,,,,,2459018.8753935,B,True,88,24.24539350019768,B
24,7.945263651299539e-17,5.3976789514544895e-18,,,,,,,2459019.8753935,B,True,88,25.24539350019768,B
25,7.458050498097704e-17,4.714568256575063e-18,,,,,,,2459020.8753935,B,True,88,26.24539350019768,B
26,6.775006742174423e-17,3.431550911842297e-18,,,,,,,2459021.8753935,B,True,88,27.24539350019768,B
27,6.008494356971272e-17,5.250786500349335e-18,,,,,,,2459022.8753935,B,True,88,28.24539350019768,B
28,5.285563582743809e-17,8.497183893451e-18,,,,,,,2459023.8753935,B,True,88,29.24539350019768,B
29,4.751620743849239e-17,1.1288505683357528e-17,,,,,,,2459024.8753935,B,True,88,30.24539350019768,B
30,4.443338627629386e-17,1.3463710431465833e-17,,,,,,,2459025.8753935,B,True,88,31.24539350019768,B
31,4.211622908203893e-17,1.5268159907642225e-17,,,,,,,2459026.8753935,B,True,88,32.24539350019768,B
32,3.890529176278887e-17,1.6886334187930365e-17,,,,,,,2459027.8753935,B,True,88,33.24539350019768,B
33,3.4929681836339403e-17,1.836179863161188e-17,,,,,,,2459028.8753935,B,True,88,34.24539350019768,B
34,3.1306530176829285e-17,1.97501291023363e-17,,,,,,,2459029.8753935,B,True,88,35.24539350019768,B
35,2.88994458518203e-17,2.126583385692743e-17,,,,,,,2459030.8753935,B,True,88,36.24539350019768,B
36,2.805220409972528e-17,2.327194055911049e-17,,,,,,,2459031.8753935,B,True,88,37.24539350019768,B
37,2.862164288147436e-17,2.5418853407332642e-17,,,,,,,2459032.8753935,B,True,88,38.24539350019768,B
38,3.01502812056471e-17,2.659718694341698e-17,,,,,,,2459033.8753935,B,True,88,39.24539350019768,B
39,3.2048646696489924e-17,2.5768352970227464e-17,,,,,,,2459034.8753935,B,True,88,40.24539350019768,B
40,3.3716660901380376e-17,2.2426336900135372e-17,,,,,,,2459035.8753935,B,True,88,41.24539350019768,B
41,3.464349457051588e-17,1.671980490648765e-17,,,,,,,2459036.8753935,B,True,88,42.24539350019768,B
42,3.449786651500156e-17,9.546750988761529e-18,,,,,,,2459037.8753935,B,True,88,43.24539350019768,B
43,3.318762019038755e-17,3.788881156090317e-18,,,,,,,2459038.8753935,B,True,88,44.24539350019768,B
44,3.094390936801952e-17,6.650003340053758e-18,,,,,,,2459039.8753935,B,True,88,45.24539350019768,B
