,mag,mag_err,jd,band,filter,phase,sub,site
0,18.886629,0.026811,2458996.6045493027,B,B,1.9745493028312922,True,8
1,18.440068,0.017472,2458997.556057304,B,B,2.9260573042556643,True,8
2,17.959392,0.016892,2458999.5560847195,B,B,4.926084719598293,True,8
3,17.90897,0.009109,2459000.485590843,B,B,5.855590843129903,True,8
4,17.84646,0.014422,2459001.468898705,B,B,6.83889870531857,True,8
5,17.895888,0.050489,2459004.7365067825,B,B,10.106506782583892,True,1
6,18.06188,0.054884,2459005.881470832,B,B,11.251470832154155,True,1
7,18.368974,0.012775,2459007.574117197,B,B,12.944117197301239,True,8
8,18.79068,0.011898,2459010.5259577306,B,B,15.895957730710506,True,8
9,18.86292,0.085653,2459011.5087047927,B,B,16.878704792819917,True,8
10,19.152356,0.017709,2459013.4972763844,B,B,18.8672763844952,True,8
11,19.104262,0.053356,2459013.689094784,B,B,19.059094784315675,True,1
12,19.337467,0.071123,2459014.828446025,B,B,20.198446025140584,True,1
13,19.342284,0.100998,2459015.8611966656,B,B,21.231196665670723,True,1
14,19.419801,0.065693,2459017.7194319563,B,B,23.089431956410408,True,1
15,19.645416,0.023543,2459018.4904228915,B,B,23.860422891564667,True,8
16,,,2459018.9109393205,B,B,24.280939320567995,False,1
17,19.62881,0.099041,2459019.7926879358,B,B,25.162687935866416,True,1
18,19.641499,0.122706,2459021.538010339,B,B,26.908010338898748,True,8
19,19.712462,0.157123,2459022.635447577,B,B,28.005447577219456,True,1
20,,,2459038.539951493,B,B,43.909951493144035,False,5
21,20.59319,0.056796,2459038.539951493,B,B,43.909951493144035,True,5
22,20.67904,0.060021,2459038.5419725464,B,B,43.91197254648432,True,5
23,20.831734,0.050104,2459049.4563021306,B,B,54.82630213070661,True,5
24,18.609849,0.005989,2458996.6072441554,g,gp,1.9772441554814577,True,8
25,18.124698,0.004141,2458997.558762572,g,gp,2.928762571886182,True,8
26,17.425209,0.005166,2459001.4710308267,g,gp,6.841030826792121,True,8
27,17.577776,0.0414,2459004.739375897,g,gp,10.1093758973293,True,1
28,17.532894,0.043872,2459005.8843132383,g,gp,11.254313238430768,True,1
29,17.660291,0.006064,2459007.576254095,g,gp,12.946254095062613,True,8
30,17.996978,0.004813,2459010.528095213,g,gp,15.898095213342458,True,8
31,18.342343,0.004945,2459013.499409475,g,gp,18.86940947500989,True,8
32,18.397954,0.026225,2459013.691958989,g,gp,19.06195898912847,True,1
33,18.525236,0.033963,2459014.8313078056,g,gp,20.201307805720717,True,1
34,18.59395,0.049688,2459015.864065317,g,gp,21.23406531708315,True,1
35,18.656129,0.090454,2459016.94678773,g,gp,22.31678772997111,True,1
36,18.808442,0.037469,2459017.722331613,g,gp,23.09233161294833,True,1
37,18.806176,0.01051,2459018.492562256,g,gp,23.86256225593388,True,8
38,18.94797,0.053368,2459019.7955352697,g,gp,25.16553526977077,True,1
39,18.849804,0.061049,2459021.7438760363,g,gp,27.11387603636831,True,1
40,19.152003,0.072092,2459022.638323957,g,gp,28.00832395721227,True,1
41,19.13853,0.081592,2459025.6805402352,g,gp,31.05054023535922,True,1
42,19.193733,0.067556,2459026.8741761306,g,gp,32.244176130741835,True,1
43,19.403871,0.327913,2459027.92352442,g,gp,33.293524419888854,True,1
44,19.96584,0.027272,2459038.535570302,g,gp,43.905570302158594,True,5
45,,,2459038.535570302,g,gp,43.905570302158594,False,5
46,20.019059,0.029341,2459038.537590869,g,gp,43.907590868882835,True,5
47,20.165768,0.012695,2459049.45122598,g,gp,54.82122598029673,True,5
48,18.742831,0.008364,2458996.615292231,i,ip,1.9852922311984003,True,8
49,18.306749,0.007276,2458997.56682018,i,ip,2.936820180155337,True,8
50,17.704119,0.004661,2459000.494056939,i,ip,5.8640569392591715,True,8
51,17.591848,0.01246,2459001.4773664256,i,ip,6.847366425674409,True,8
52,17.531112,0.004308,2459002.565376515,i,ip,7.935376515146345,True,8
53,17.521667,0.040317,2459004.738417682,i,ip,10.10841768188402,True,1
54,17.381472,0.02683,2459005.883365673,i,ip,11.25336567312479,True,1
55,17.460864,0.008887,2459007.582606444,i,ip,12.952606444247067,True,8
56,17.527063,0.005502,2459010.5344238305,i,ip,15.904423830565065,True,8
57,17.64845,0.009495,2459013.505748433,i,ip,18.875748433172703,True,8
58,17.638522,0.019488,2459013.6909947405,i,ip,19.060994740575552,True,1
59,17.685396,0.031274,2459014.83035041,i,ip,20.200350410304964,True,1
60,17.705286,0.051372,2459015.8630996887,i,ip,21.233099688775837,True,1
61,18.041749,0.066826,2459016.9458232773,i,ip,22.31582327745855,True,1
62,17.889627,0.024422,2459017.7217532066,i,ip,23.09175320668146,True,1
63,17.954823,0.009415,2459018.4989085323,i,ip,23.868908532429487,True,8
64,18.092994,0.04447,2459019.7945718607,i,ip,25.164571860805154,True,1
65,18.174243,0.006074,2459021.546475234,i,ip,26.916475234087557,True,8
66,18.081353,0.072066,2459021.7429202446,i,ip,27.11292024469003,True,1
67,18.246923,0.039573,2459022.6373404344,i,ip,28.007340434473008,True,1
68,18.185497,0.050254,2459025.679582687,i,ip,31.049582687206566,True,1
69,18.321663,0.045165,2459026.873217289,i,ip,32.24321728898212,True,1
70,19.023065,0.020701,2459038.547064824,i,ip,43.91706482414156,True,5
71,19.371056,0.013656,2459049.465137692,i,ip,54.835137692280114,True,5
72,19.555547,0.057468,2459038.545625962,R,R,43.91562596196309,True,5
73,18.571618,0.005495,2458996.609920142,r,rp,1.9799201423302293,True,8
74,18.117659,0.004533,2458997.5614426774,r,rp,2.9314426775090396,True,8
75,17.606862,0.005397,2458999.561463102,r,rp,4.9314631023444235,True,8
76,17.375302,0.008128,2459001.4731397647,r,rp,6.843139764852822,True,8
77,17.347612,0.042498,2459004.74021784,r,rp,10.110217839945108,True,1
78,17.301584,0.025122,2459005.8851424246,r,rp,11.25514242472127,True,1
79,17.253411,0.0044,2459007.578369882,r,rp,12.948369882069528,True,8
80,17.386366,0.003984,2459010.530201608,r,rp,15.900201607961208,True,8
81,17.584993,0.005447,2459013.501519012,r,rp,18.871519011911005,True,8
82,17.583356,0.016203,2459013.692809258,r,rp,19.062809258233756,True,1
83,17.646724,0.019189,2459014.832149669,r,rp,20.202149669174105,True,1
84,17.785351,0.062688,2459015.864908986,r,rp,21.23490898590535,True,1
85,17.845471,0.046959,2459016.9476363743,r,rp,22.317636374384165,True,1
86,17.841574,0.023379,2459017.7235628557,r,rp,23.093562855850905,True,1
87,17.949964,0.008118,2459018.494668646,r,rp,23.864668645896018,True,8
88,17.999714,0.033874,2459019.796378166,r,rp,25.166378166060895,True,1
89,18.18214,0.004544,2459021.542248707,r,rp,26.91224870691076,True,8
90,18.165732,0.033551,2459022.6391692646,r,rp,28.00916926469654,True,1
91,18.27484,0.04728,2459025.6813839893,r,rp,31.051383989397436,True,1
92,18.331794,0.032584,2459026.8750161966,r,rp,32.245016196742654,True,1
93,19.370392,0.011499,2459049.4633609625,r,rp,54.833360962569714,True,5
94,,,2459004.741878832,u,up,10.111878832336515,False,1
95,,,2459005.886804756,u,up,11.25680475588888,False,1
96,,,2459013.694462892,u,up,19.0644628922455,False,1
97,,,2459014.833795551,u,up,20.2037955513224,False,1
98,,,2459015.866573448,u,up,21.23657344793901,False,1
99,,,2459017.725222547,u,up,23.095222547184676,False,1
100,,,2459019.7980310014,u,up,25.168031001463532,False,1
101,,,2459021.746411752,u,up,27.116411752067506,False,1
102,,,2459022.6408261945,u,up,28.010826194658875,False,1
103,,,2459026.876674946,u,up,32.24667494604364,False,1
104,18.585347,0.03228,2458996.612623814,V,V,1.9826238141395152,True,8
105,18.123766,0.017992,2458997.564147737,V,V,2.9341477369889617,True,8
106,17.598406,0.014557,2458999.5641735843,V,V,4.934173584450036,True,8
107,17.422132,0.013043,2459000.4919650825,V,V,5.861965082585812,True,8
108,17.349434,0.019164,2459001.4752720245,V,V,6.845272024627775,True,8
109,17.274924,0.011217,2459002.563277557,V,V,7.933277557138354,True,8
110,17.25931,0.035425,2459004.7374129845,V,V,10.107412984594703,True,1
111,17.23446,0.033719,2459005.8823663946,V,V,11.252366394735873,True,1
