,mag,mag_err,jd,band,filter,phase,sub,site
0,18.87934,0.030663,2458996.6045493027,B,B,1.9149558759710723,True,8
1,18.431698,0.027816,2458997.556057304,B,B,2.8377466291563196,True,8
2,17.951119,0.02412,2458999.5560847195,B,B,4.777411668475341,True,8
3,17.905207,0.012228,2459000.485590843,B,B,5.678864577478763,True,8
4,17.841409,0.02063,2459001.468898705,B,B,6.632495447007691,True,8
5,17.844444,0.050073,2459004.736506783,B,B,9.801484582831828,True,1
6,18.072908,0.046992,2459005.8814708316,B,B,10.911892729932978,True,1
7,18.363061,0.018387,2459007.574117197,B,B,12.553453717609239,True,8
8,18.786676,0.017448,2459010.5259577306,B,B,15.416205418099256,True,8
9,18.861845,0.083441,2459011.5087047927,B,B,16.36929241292955,True,8
10,19.144346,0.022763,2459013.4972763844,B,B,18.29784737420979,True,8
11,19.050493,0.056469,2459013.689094784,B,B,18.483876546197994,True,1
12,19.314487,0.06692,2459014.8284460255,B,B,19.588841284822564,True,1
13,19.361379,0.100755,2459015.8611966656,B,B,20.590422710907287,True,1
14,19.382832,0.06076,2459017.7198650693,B,B,22.39299506300985,True,1
15,19.645996,0.021322,2459018.4904228915,B,B,23.140296853484237,True,8
16,17.148456,0.5553,2459018.9109393205,B,B,23.54812177105283,False,1
17,19.536461,0.082791,2459019.7926879353,B,B,24.403258529948747,True,1
18,19.869151,0.023437,2459021.538010339,B,B,26.095905751899632,True,8
19,19.520568,0.122717,2459022.635447577,B,B,27.160221484618138,True,1
20,19.937264,0.073429,2459038.5399514935,B,B,42.58471515789597,False,5
21,20.598482,0.068933,2459038.5399514935,B,B,42.58471515789597,True,5
22,20.687886,0.072016,2459038.5419725464,B,B,42.586675213829935,True,5
23,20.920846,0.077326,2459049.4563021306,B,B,53.17160188019494,True,5
24,18.608381,0.007983,2458996.6072441554,g,g,1.9175693958816216,True,8
25,18.122417,0.005363,2458997.558762572,g,g,2.8403702497150496,True,8
26,17.425631,0.010748,2459001.4710308267,g,g,6.63456321940426,True,8
27,17.534022,0.036554,2459004.739375897,g,g,9.804267105021045,True,1
28,17.513724,0.03179,2459005.8843132383,g,g,10.914649350638886,True,1
29,17.655745,0.009999,2459007.576254095,g,g,12.555526122141567,True,8
30,17.995943,0.005245,2459010.528095213,g,g,15.418278389850316,True,8
31,18.34036,0.007687,2459013.499409475,g,g,18.299916086401087,True,8
32,18.37762,0.024563,2459013.6919589895,g,g,18.486654307543382,True,1
33,18.494957,0.034698,2459014.8313078056,g,g,19.591616694197295,True,1
34,18.60336,0.047755,2459015.864065317,g,g,20.593204784198882,True,1
35,18.652465,0.092748,2459016.94678773,g,g,21.643249796309945,True,1
36,18.810362,0.040924,2459017.722705183,g,g,22.395749460001564,True,1
37,18.804536,0.009874,2459018.492562256,g,g,23.14237165018027,True,8
38,18.924405,0.045756,2459019.7955352697,g,g,24.406019929562778,True,1
39,18.833127,0.061374,2459021.7438760363,g,g,26.295558263216996,True,1
40,19.150133,0.070789,2459022.638323957,g,g,27.16301105323558,True,1
41,19.094251,0.079487,2459025.6805402352,g,g,30.113410888508827,True,1
42,19.187004,0.056718,2459026.8741761306,g,g,31.271021928332136,True,1
43,19.399921,0.337686,2459027.9235244202,g,g,32.28870007405008,True,1
44,19.390331,0.036205,2459038.535570302,g,g,42.58046619419524,False,5
45,19.960393,0.022277,2459038.535570302,g,g,42.58046619419524,True,5
46,20.012458,0.025245,2459038.537590869,g,g,42.582425778651206,True,5
47,20.158306,0.014271,2459049.45122598,g,g,53.16667893193492,True,5
48,18.744157,0.01189,2458996.6152922316,i,i,1.9253745748933795,True,8
49,18.308558,0.006354,2458997.56682018,i,i,2.8481846731276055,True,8
50,17.707216,0.005465,2459000.494056939,i,i,5.6870751602715215,True,8
51,17.590775,0.024792,2459001.4773664256,i,i,6.640707605006603,True,8
52,17.533087,0.004793,2459002.565376515,i,i,7.695880707528071,True,8
53,17.478825,0.031771,2459004.738417682,i,i,9.803337809259853,True,1
54,17.39709,0.027308,2459005.883365673,i,i,10.913730383587545,True,1
55,17.463267,0.017097,2459007.582606444,i,i,12.561686752508987,True,8
56,17.53061,0.007956,2459010.5344238305,i,i,15.424416004504874,True,8
57,17.648734,0.009805,2459013.505748433,i,i,18.306063729898266,True,8
58,17.62888,0.019667,2459013.6909947405,i,i,18.485719160306804,True,1
59,17.718644,0.024748,2459014.8303504107,i,i,19.590688194168113,True,1
60,17.749768,0.033537,2459015.8630996887,i,i,20.592268299301573,True,1
61,18.053456,0.072236,2459016.9458232773,i,i,21.642314451720992,True,1
62,17.877958,0.025332,2459017.7217532066,i,i,22.394826214874563,True,1
63,17.961899,0.006254,2459018.4989085323,i,i,23.148526391137292,True,8
64,18.064466,0.031758,2459019.7945718607,i,i,24.405085597025714,True,1
65,18.175788,0.005906,2459021.546475234,i,i,26.104115169997243,True,8
66,18.056789,0.06234,2459021.7429202446,i,i,26.29463131807164,True,1
67,18.238671,0.041465,2459022.6373404344,i,i,27.162057213974133,True,1
68,18.184304,0.045017,2459025.679582687,i,i,30.11248223990085,True,1
69,18.348013,0.036592,2459026.873217289,i,i,31.27009202515917,True,1
70,19.044091,0.024514,2459038.547064824,i,i,42.591613802604506,True,5
71,19.363452,0.015877,2459049.465137692,i,i,53.18017077767875,True,5
72,19.595179,0.066524,2459038.545625962,R,R,42.5902183664007,True,5
73,18.570161,0.010428,2458996.609920142,r,r,1.9201646193752708,True,8
74,18.116425,0.007388,2458997.5614426774,r,r,2.842969467674994,True,8
75,17.60551,0.009245,2458999.561463102,r,r,4.782627727465691,True,8
76,17.373611,0.021144,2459001.4731397647,r,r,6.636608508081331,True,8
77,17.353982,0.03262,2459004.74021784,r,r,9.805083637156788,True,1
78,17.314138,0.025763,2459005.8851424246,r,r,10.915453511445099,True,1
79,17.252996,0.009342,2459007.578369882,r,r,12.557578053058352,True,8
80,17.386782,0.008195,2459010.530201608,r,r,15.420321211848483,True,8
81,17.584209,0.010991,2459013.501519012,r,r,18.301961955845105,True,8
82,17.583325,0.016942,2459013.692809258,r,r,18.487478914417096,True,1
83,17.644683,0.018884,2459014.8321496695,r,r,19.59243315001141,True,1
84,17.726102,0.066236,2459015.864908986,r,r,20.59402299044277,True,1
85,17.842831,0.050045,2459016.9476363743,r,r,21.644072827977503,True,1
86,17.84769,0.020032,2459017.7235628553,r,r,22.39658124697925,True,1
87,17.94551,0.005421,2459018.494668646,r,r,23.144414467662365,True,8
88,17.964598,0.027489,2459019.796378166,r,r,24.406837386590208,True,1
89,18.180749,0.005381,2459021.5422487063,r,r,26.100016202231647,True,8
90,18.168158,0.032327,2459022.6391692646,r,r,27.163830848685446,True,1
91,18.262139,0.041756,2459025.6813839893,r,r,30.114229177396844,True,1
92,18.335548,0.048158,2459026.8750161966,r,r,31.271836640490587,True,1
93,19.37038,0.013651,2459049.4633609625,r,r,53.17844767104674,True,5
94,18.475167,0.100502,2459004.7418788318,u,u,9.806694499060104,False,1
95,18.475307,0.097265,2459004.7418788318,u,u,9.806694499060104,False,1
96,18.533979,0.098799,2459004.7442709794,u,u,9.80901444985895,False,1
97,18.632287,0.103468,2459005.886804756,u,u,10.91706567217092,False,1
98,18.634122,0.10009,2459005.886804756,u,u,10.91706567217092,False,1
99,18.749776,0.108548,2459005.8892003936,u,u,10.919389007766247,False,1
100,19.079605,0.07871,2459013.6944628917,u,u,18.489082640022342,False,1
101,19.069284,0.077304,2459013.6944628917,u,u,18.489082640022342,False,1
102,18.915122,0.071111,2459013.696855661,u,u,18.491403193716895,False,1
103,19.15814,0.07355,2459014.833795551,u,u,19.59402935771045,False,1
104,19.159641,0.073733,2459014.833795551,u,u,19.59402935771045,False,1
105,18.779294,0.056133,2459014.836187482,u,u,19.59634909806031,False,1
106,18.9917,0.161671,2459015.8665734474,u,u,20.595637217271847,False,1
107,18.986673,0.162605,2459015.8665734474,u,u,20.595637217271847,False,1
108,19.086274,0.370154,2459015.8689641715,u,u,20.59795578750727,False,1
109,19.223997,0.086662,2459017.725222547,u,u,22.398190847995068,False,1
110,19.22591,0.087005,2459017.725222547,u,u,22.398190847995068,False,1
111,19.368285,0.084527,2459017.727611649,u,u,22.400507844830766,False,1
112,18.165016,0.030054,2459019.7980310014,u,u,24.408440338140597,False,1
113,18.174897,0.032069,2459019.7980310014,u,u,24.408440338140597,False,1
114,18.129008,0.031871,2459019.800419362,u,u,24.410756616017522,False,1
115,18.046698,0.03283,2459021.746411752,u,u,26.298017449052978,False,1
116,18.025811,0.037285,2459021.746411752,u,u,26.298017449052978,False,1
117,18.021798,0.089835,2459021.7488008034,u,u,26.30033439711509,False,1
118,18.271847,0.042017,2459022.6408261945,u,u,27.165437771218553,False,1
119,18.272789,0.041968,2459022.6408261945,u,u,27.165437771218553,False,1
120,18.166668,0.039495,2459022.6432125084,u,u,27.167752064281533,False,1
121,17.980034,0.039184,2459025.6830436513,u,u,30.1158387495098,False,1
122,17.922165,0.03455,2459025.685431491,u,u,30.1181545224898,False,1
123,19.278181,0.087992,2459026.876674946,u,u,31.27344532745329,False,1
124,18.408226,0.036602,2459026.876674946,u,u,31.27344532745329,False,1
125,19.503458,0.112662,2459026.8790650484,u,u,31.275763294793013,False,1
126,18.580159,0.038065,2458996.612623814,V,V,1.9227866922758894,True,8
127,18.12608,0.020721,2458997.564147737,V,V,2.8455928863652744,True,8
128,17.594454,0.021543,2458999.5641735843,V,V,4.78525640512262,True,8
129,17.423276,0.01006,2459000.4919650825,V,V,5.6850464374522955,True,8
130,17.348778,0.029439,2459001.4752720245,V,V,6.638676414605259,True,8
131,17.277396,0.010958,2459002.5632775575,V,V,7.693845098149599,True,8
132,17.255878,0.034808,2459004.7374129845,V,V,9.802363434512667,True,1
133,17.225445,0.030574,2459005.8823663946,V,V,10.91276126419415,True,1
134,17.365601,0.021586,2459007.5805116063,V,V,12.559655138500025,True,8
135,17.519142,0.016957,2459009.5295769507,V,V,14.449896181645492,True,8
136,17.614182,0.017054,2459010.5323316255,V,V,15.42238694388341,True,8
137,17.922061,0.017807,2459013.503652241,V,V,18.30403080261537,True,8
138,17.905035,0.025077,2459013.68999658,V,V,18.484751125222463,True,1
139,17.988678,0.025436,2459014.8293456896,V,V,19.589713796388956,True,1
140,18.037078,0.051648,2459015.8620953797,V,V,20.59129430119485,True,1
141,18.174992,0.030463,2459017.7207627585,V,V,22.39386565930981,True,1
142,18.259399,0.013092,2459018.496809457,V,V,23.14649066750218,True,8
143,16.237,0.289591,2459018.911779167,V,V,23.548936270504257,False,1
144,18.3033,0.040445,2459019.7935862066,V,V,24.404129690757795,True,1
145,18.583256,0.017693,2459021.544380506,V,V,26.102083662567594,True,8
146,15.85342,0.01765,2459021.6534786224,V,V,26.207889113341107,False,1
147,16.029902,0.015736,2459021.741919743,V,V,26.29366101230595,False,1
148,18.512195,0.05749,2459022.6363456384,V,V,27.16109244175231,True,1
149,18.506014,0.04205,2459026.8722177534,V,V,31.26912265647856,True,1
150,19.539382,0.044188,2459038.5440370003,V,V,42.58867736091619,True,5
151,19.823537,0.039036,2459049.4612454968,V,V,53.17639605173897,True,5
152,,,2458333.6889468,g,g,-640.993340445387,True,0
153,,,2458333.6894097,g,g,-640.9928915156974,True,0
154,19.74648515705597,0.0687481804255166,2458994.9131366,g,g,0.27459131833621103,True,0
155,19.75768800474595,0.0703255526748199,2458994.9140741,g,g,0.2755005238964299,True,0
156,19.099654518684854,0.0464302864490581,2458995.8220139,g,g,1.1560379977707467,True,0
157,19.131525183734176,0.043338333105784,2458995.8229398,g,g,1.1569359533422852,True,0
158,18.46767592258209,0.0339356378869509,2458996.8300579,g,g,2.1336584491088013,True,0
159,18.444365815543875,0.0366307947905314,2458996.8309954,g,g,2.13456765466902,True,0
160,18.006268982878122,0.0297844448179133,2458997.8845255,g,g,3.156301400306501,True,0
161,18.04478985621557,0.026895353274264,2458997.885463,g,g,3.1572106058667195,True,0
162,17.749492726591342,0.0275205884693829,2458998.8640278,g,g,4.106241562718418,True,0
163,17.723298061052567,0.0272395805230394,2458998.865081,g,g,4.107262976427145,True,0
164,17.64141915418844,0.0255443935951881,2458999.901956,g,g,5.112844285836192,True,0
165,17.6568444110227,0.0219420244778079,2458999.9028935,g,g,5.113753491396411,True,0
166,17.46271252766795,0.037172920504397,2459000.9143866,g,g,6.094718946293413,True,0
167,17.4525140610069,0.0472411749393984,2459000.9153241,g,g,6.0956281518536315,True,0
168,17.38704096147556,0.0283249830699028,2459001.8907986,g,g,7.041662076224543,True,0
169,17.410917002767494,0.0266935341972392,2459001.916088,g,g,7.06618822256544,True,0
170,18.198371776358005,0.0347101981066662,2459011.7796991,g,g,16.63210790237142,True,0
171,18.38195483928456,0.0318518297363251,2459012.8129977,g,g,17.63422075053594,True,0
172,18.652757702656253,0.0358697676316557,2459014.8405671,g,g,19.60059653578008,True,0
173,18.75698231841239,0.0373096114562818,2459015.8120833,g,g,20.542791624946506,True,0
174,18.83090727303121,0.0414803541647736,2459016.8373495,g,g,21.537114497006375,True,0
175,19.040981367784784,0.0403092410128703,2459018.8398264,g,g,23.479155093527286,True,0
176,19.075301901027704,0.0429256281716902,2459020.7237731,g,g,25.30624282339541,True,0
177,19.35072994013356,0.0654672442538756,2459022.8434722,g,g,27.36196776329809,True,0
178,19.350434287187174,0.0574693385162003,2459023.8207639,g,g,28.309764043037163,True,0
179,19.47326998649457,0.063687434696607,2459024.7894329,g,g,29.249197862652455,True,0
180,19.56190603195605,0.0640021096642124,2459025.7496991,g,g,30.180482485096253,True,0
181,19.615670788095905,0.0662774701668272,2459026.8646759,g,g,31.26180842198707,True,0
182,19.54537046443282,0.0723136642051328,2459027.738287,g,g,32.10905326256627,True,0
183,19.65788917697212,0.0746121555078718,2459028.8381134,g,g,33.17568605037781,True,0
184,19.86973089256916,0.1128865266368535,2459030.850081,g,g,35.126930910197814,True,0
185,20.078903951437127,0.1248507335517364,2459038.760162,g,g,42.79827954087833,True,0
186,20.218221134750426,0.1009315264592813,2459041.7256713,g,g,45.67428747411615,True,0
187,20.004035785682674,0.1129514955884711,2459044.8263542,g,g,48.681389363150934,True,0
188,20.238945376306965,0.1003772513672253,2459047.7567708,g,g,51.52336372098259,True,0
189,20.15338687492117,0.0990715633638152,2459048.7784144,g,g,52.51417332603433,True,0
190,20.445504274676445,0.137549473180755,2459050.7473611,g,g,54.423695690050515,True,0
191,20.233892804565183,0.113942586741769,2459051.8102894,g,g,55.45454399126755,True,0
192,20.22024236599458,0.0986211317391993,2459052.7756944,g,g,56.390812320761746,True,0
193,20.45468499254636,0.1163398416956869,2459053.7467593,g,g,57.332569730227256,True,0
194,20.35409127368864,0.1104339155342834,2459053.8401042,g,g,57.42309740869897,True,0
195,20.29597001030389,0.124166415018848,2459054.7889815,g,g,58.343336857197485,True,0
196,20.28906419490118,0.1127481773718396,2459055.7983565,g,g,59.3222481380444,True,0
